StateAbbr,NAME,FIPS,2022Turnout,2022BlackProp,2022HispProp,2022Median Income,2022Age,2020Turnout,2020BlackProp,2020HispProp,2020Median Income,2020Age,2018Turnout,2018BlackProp,2018HispProp,2018Median Income,2018Age,2016Turnout,2016BlackProp,2016HispProp,2016Median Income,2016Age,2014Turnout,2014BlackProp,2014HispProp,2014Median Income,2014Age,2010Turnout,2010BlackProp,2010HispProp,2010Median Income,2010Age,NP2022,NP2018,NP2016,NP2014,2022Population,Affiliation2022,,,,,,,,,,,
AL,"Chilton County, Alabama",1021,0.344155261,0.094306602,0.081169694,29424,39.9,0.500123274,0.096677011,0.077536412,25602,39.5,0.428754734,0.094422946,0.077760073,24403,38.6,0.434135057,0.100828446,0.076248944,23507,38.7,0.358835348,0.102418857,0.076882666,23499,38.3,0.36306618,0.093968136,0.065072702,21539,37.2,2,2,2,2,45140,Republican,,,,,,,,,,,
AL,"Choctaw County, Alabama",1023,0.509396637,0.399557976,0.011287394,24063,46.7,0.436665357,0.423206586,0.005409643,21793,46.6,0.351442308,0.427533461,0.005583174,21232,46.1,0.347565614,0.425829758,0.005569354,17760,45.1,0.249647125,0.435257641,0.004134062,17498,44.6,0.574556541,0.429735667,0.003685068,15810,43.2,1,1,1,1,12669,Republican,,,,,,,,,,,
AL,"Clarke County, Alabama",1025,0.501453976,0.454939717,0.01452858,25426,42.7,0.522023013,0.457093774,0.005866086,21952,42.9,0.422043011,0.458153934,0.001968262,20519,42.3,0.417161613,0.454944259,0.001730591,20261,42,0.323546165,0.450080929,0.004342505,19093,41.1,0.47367881,0.418586936,0.00906494,15969,38.9,3,3,3,3,23058,Republican,,,,,,,,,,,
AL,"Clay County, Alabama",1027,0.376075197,0.125976494,0.030755155,26546,43.9,0.657531621,0.153180279,0.030861874,23105,43.4,0.518347298,0.147779937,0.031021079,21824,43.7,0.5193978,0.147815768,0.03107617,20852,43.7,0.423694391,0.145847103,0.031137549,19250,43.6,0.493372191,0.153846154,0.025641026,20540,41.3,1,1,1,1,14209,Republican,,,,,,,,,,,
AL,"Cleburne County, Alabama",1029,0.397342995,0.027139461,0.026479134,30415,42.2,0.623907725,0.02635099,0.02541466,26221,43.1,0.389226836,0.026308743,0.024233498,21300,42.5,0.39091553,0.023614169,0.023280635,19865,41.5,0.337200035,0.028685791,0.022081388,20059,41.3,0.456941219,0.040882412,0.014437024,16349,40.1,1,1,1,1,15144,Republican,,,,,,,,,,,
AL,"Coffee County, Alabama",1031,0.351656645,0.167982972,0.084019493,29672,39.2,0.567652951,0.170488916,0.076783185,27683,39.5,0.416681929,0.172145531,0.069197473,27130,39.3,0.41960216,0.17191269,0.0655802,24138,39.3,0.293143701,0.170937981,0.063793715,23473,38.2,0.428991906,0.173261081,0.056092163,22811,37.9,3,3,3,3,53559,Republican,,,,,,,,,,,
AL,"Colbert County, Alabama",1033,0.385113702,0.160380653,0.032076131,29990,42,0.639001255,0.162108558,0.028949906,26121,42.5,0.486353235,0.158087898,0.024754565,24608,42.7,0.488161197,0.156904574,0.024017507,22646,42.4,0.238738203,0.159879613,0.023416711,21375,42.3,0.399341194,0.16061786,0.019854535,20957,41.6,1,2,2,2,57270,Republican,,,,,,,,,,,
AL,"Conecuh County, Alabama",1035,0.480535015,0.484709744,0.00691085,23934,46.2,0.643300248,0.480563058,0.004828546,21238,45.2,0.495105038,0.477145597,0.008390603,17721,44.8,0.494248193,0.46310152,0.017641963,16515,44,0.446787249,0.448286484,0.015864459,15578,43.6,0.507662083,0.462486923,0.003138544,15885,43.4,0,0,1,1,11576,Republican,,,,,,,,,,,
AL,"Coosa County, Alabama",1037,0.442202899,0.302062155,0.027495401,26312,50.2,0.431918009,0.322643979,0.012808527,22108,49,0.475270738,0.342054353,0.004606172,19877,46.9,0.486180905,0.323637703,0.012886598,17110,44.9,0.418968795,0.313327999,0.021161199,17598,44.8,0.466229727,0.337750654,0.001220575,18974,43.8,1,1,1,1,10329,Republican,,,,,,,,,,,
AL,"Covington County, Alabama",1039,0.387417789,0.122689255,0.019950988,28811,42.9,0.5937619,0.126886996,0.017710804,25808,43.3,0.41305546,0.129206715,0.016170919,24028,43.9,0.409291054,0.131066289,0.015319781,21209,42.9,0.269001262,0.128507695,0.01488873,19715,42.6,0.423182752,0.128616252,0.013321634,18621,42.1,3,3,4,4,37542,Republican,,,,,,,,,,,
AL,"Crenshaw County, Alabama",1041,0.455419756,0.231654676,0.025369178,25717,42.3,0.615326467,0.236293939,0.022059887,22230,42.3,0.507341101,0.230652723,0.019834115,19462,41.5,0.508352316,0.238341969,0.016839378,20670,41.6,0.439790576,0.234538671,0.016429904,20638,41,0.539208951,0.208285468,0.012851809,18097,39.5,1,1,1,1,13205,Republican,,,,,,,,,,,
AL,"Cullman County, Alabama",1043,0.388094249,0.010873998,0.04594264,29469,41.4,0.652646139,0.011314416,0.044105825,25472,41.2,0.456902056,0.012124452,0.043043019,23438,40.6,0.464501891,0.011055635,0.04213193,22352,40.5,0.286350295,0.013586552,0.043152179,21376,40.5,0.434668946,0.009119225,0.039654245,20588,39.5,1,1,1,1,88284,Republican,,,,,,,,,,,
AL,"Dale County, Alabama",1045,0.320715853,0.210615711,0.070104135,29382,37.7,0.522781517,0.206783925,0.066642322,24824,37.8,0.384218767,0.197929144,0.062328698,24849,37.5,0.380500454,0.196665793,0.058882819,22922,36.9,0.292080135,0.194189511,0.058564773,23453,36.6,0.382229765,0.198833702,0.052402976,22389,35.8,2,1,2,2,49455,Republican,,,,,,,,,,,
AL,"Dallas County, Alabama",1047,0.389453381,0.690575588,0.011219538,22608,40.4,0.472273471,0.714697255,0.00282841,20938,39.6,0.384762032,0.704739064,0.010292538,19019,39.5,0.375788064,0.695167286,0.009583353,17272,38.9,0.321283869,0.696207566,0.003743303,16162,37.9,0.489043109,0.688104207,0.007080289,16352,36.8,1,1,1,1,38326,Democrat,,,,,,,,,,,
AL,"DeKalb County, Alabama",1049,0.338548371,0.014550781,0.15375279,26558,39.6,0.580312751,0.015301694,0.147417052,23282,39.6,0.426354407,0.014101124,0.143539326,21310,39.3,0.427773296,0.015252971,0.14015253,20342,39.3,0.252632653,0.017995329,0.139600979,20048,38.8,0.305768548,0.015991319,0.122419258,18834,37,2,1,1,1,71680,Republican,,,,,,,,,,,
AL,"Elmore County, Alabama",1051,0.381149786,0.208406504,0.031233608,35947,38.9,0.650995097,0.21134362,0.029769644,31019,38.7,0.471527878,0.214278678,0.02889967,28157,38.6,0.477709285,0.21364428,0.028014872,26428,38.3,0.341677776,0.207056685,0.027141096,25633,37.6,0.454558021,0.201043142,0.02530586,24155,37.3,2,2,2,2,87694,Republican,,,,,,,,,,,
AL,"Escambia County, Alabama",1053,0.287117904,0.303033601,0.025574752,26692,40.5,0.551126577,0.320163154,0.024146839,22747,39.4,0.418285714,0.319331333,0.022449636,21204,39.7,0.411782755,0.323881188,0.020594059,18703,39.9,0.30522416,0.32493034,0.020188213,18740,39.4,0.296983194,0.31413833,0.019002,18348,38.3,3,3,3,3,36755,Republican,,,,,,,,,,,
AL,"Etowah County, Alabama",1055,0.326322634,0.152146147,0.044132446,28127,41.9,0.59832874,0.160814244,0.040760896,24321,41.3,0.436183694,0.15749133,0.037692225,22970,41.3,0.436931162,0.154126718,0.036299256,21240,40.9,0.246417976,0.153659989,0.035236156,20446,40.5,0.31865557,0.150462207,0.030788154,20430,40,2,2,2,2,103348,Republican,,,,,,,,,,,
AL,"Fayette County, Alabama",1057,0.428627024,0.127262686,0.00374302,24379,43.7,0.671835026,0.122089479,0.005424845,21245,43.9,0.565812755,0.119264396,0.017184203,20863,43.8,0.559188018,0.125364953,0.008580111,18836,43.6,0.391314217,0.122686409,0.007521006,17445,43.4,0.353548867,0.111836081,0.010531136,18304,42.4,1,1,1,1,16297,Republican,,,,,,,,,,,
AL,"Franklin County, Alabama",1059,0.328589109,0.042485396,0.184061729,28111,39.3,0.564153951,0.039288315,0.176781587,24061,39.2,0.399862574,0.044004819,0.169076152,22187,37.6,0.397966627,0.045196845,0.160168498,20457,39.1,0.243640736,0.048795124,0.154186274,20777,38.5,0.286417821,0.042347768,0.131727368,18045,38.5,2,2,2,2,32011,Republican,,,,,,,,,,,
AL,"Geneva County, Alabama",1061,0.386935406,0.092768417,0.044470297,25020,43.6,0.609929426,0.101504757,0.040745935,22168,43.6,0.437876488,0.095466385,0.038767883,20885,42.4,0.435784959,0.096020923,0.037063329,20020,42,0.356835938,0.097143496,0.035314737,20014,41.9,0.476336179,0.102143853,0.032025922,16974,42.2,1,3,3,3,26647,Republican,,,,,,,,,,,
AL,"Greene County, Alabama",1063,0.495006658,0.818193615,0.003114456,21956,41.1,0.637478652,0.789320034,0.026882374,18127,44.6,0.55357415,0.796700688,0.016971279,15739,42.5,0.550720243,0.812507278,0.006172121,14037,41.3,0.450074294,0.807797227,0.004432826,14696,42.5,0.627944404,0.804321988,0.010480821,15594,41.9,1,1,2,2,7706,Democrat,,,,,,,,,,,
AL,"Hale County, Alabama",1065,0.461415505,0.567969068,0.001695835,22588,40.5,0.490196078,0.591432832,0.000677782,18364,40.8,0.419003252,0.587626788,0.008732451,18427,39.2,0.41215632,0.583349825,0.012072036,18697,39.7,0.326715728,0.584356526,0.010654193,17673,40.6,0.535660091,0.591909946,0.003525482,16322,39.1,2,2,2,2,14742,Democrat,,,,,,,,,,,
AL,"Henry County, Alabama",1067,0.489071834,0.25315357,0.027138063,30149,44.6,0.677192723,0.265899667,0.026455644,24649,44.7,0.497950361,0.277330063,0.026162112,22542,44.1,0.500974805,0.278873567,0.025309827,21188,43.2,0.383935986,0.276606833,0.024203822,21567,43.1,0.517847588,0.292803826,0.01947749,19828,42.4,1,1,2,2,17282,Republican,,,,,,,,,,,
AL,"Houston County, Alabama",1069,0.339171289,0.272477578,0.035911809,29676,40.4,0.572996267,0.272287052,0.033716613,26243,40.2,0.407655515,0.269070071,0.032936599,23784,39.8,0.411482212,0.266433089,0.031869941,22190,39.3,0.305063866,0.261546969,0.031538917,22084,38.7,0.445252685,0.25396601,0.02633572,21546,38,1,1,1,2,107040,Republican,,,,,,,,,,,
AL,"Jackson County, Alabama",1071,0.322763992,0.032897488,0.032023262,27953,43,0.487414697,0.036858881,0.029769149,24231,43,0.384450257,0.034533727,0.028890083,22090,43.3,0.382524796,0.032941758,0.02727722,21401,42.8,0.250343845,0.032351166,0.026654342,20786,42.1,0.373386345,0.033454464,0.022702581,20170,41.4,2,2,2,2,52618,Republican,,,,,,,,,,,
AL,"Jefferson County, Alabama",1073,0.34178205,0.427216946,0.041575867,34404,37.9,0.51029752,0.428988104,0.039107825,30328,37.9,0.495937701,0.426891067,0.037957726,27513,37.7,0.497267904,0.425200578,0.036892956,25727,37.5,0.318810996,0.422848548,0.038121894,24865,37.4,0.395233254,0.417646504,0.034368378,24572,37,3,4,6,6,672265,Republican,,,,,,,,,,,
AL,"Lamar County, Alabama",1075,0.404288751,0.109974793,0.005473533,25358,44.2,0.662814539,0.110076512,0.017323517,22595,44.3,0.495193197,0.111820857,0.015646307,20852,44.5,0.488688196,0.112611972,0.014289777,19151,44.3,0.307678491,0.11627418,0.013666947,19487,42.6,0.337973568,0.122363155,0.011802211,17112,42.2,3,3,3,3,13885,Republican,,,,,,,,,,,
AL,"Lauderdale County, Alabama",1077,0.34586053,0.098771322,0.029715146,30674,40.8,0.462538852,0.102444277,0.027586949,26424,41.3,0.422157658,0.101139493,0.026051736,25959,41.4,0.423504179,0.098509299,0.023931089,23199,41.3,0.283884783,0.099461091,0.023431774,22160,40.9,0.393463515,0.102384429,0.020400602,20753,39.7,2,2,3,3,94329,Republican,,,,,,,,,,,
AL,"Lawrence County, Alabama",1079,0.416977757,0.101793695,0.025033217,29148,42.7,0.615504723,0.106766963,0.022596985,25519,42.6,0.458571484,0.109342498,0.021313798,24562,42.2,0.453737545,0.113660156,0.020668202,22667,42.2,0.230551518,0.110861534,0.019595094,21536,41.6,0.44394826,0.112224332,0.017467504,20041,40.2,1,1,1,1,33116,Republican,,,,,,,,,,,
AL,"Lee County, Alabama",1081,0.303698029,0.224769594,0.038714982,31723,33,0.570928607,0.227093925,0.037274946,26380,32.4,0.411801056,0.230244778,0.036820331,25846,31.4,0.427538494,0.232352693,0.036902311,22826,30.5,0.240280271,0.231016984,0.036768388,21332,30.2,0.336216529,0.227946078,0.03008666,20997,28.8,3,3,4,4,175126,Republican,,,,,,,,,,,
AL,"Limestone County, Alabama",1083,0.393083856,0.131613547,0.063225175,37197,40.2,0.525708147,0.135450522,0.060255259,29303,40,0.480908256,0.133989597,0.058881056,26895,39.5,0.498550164,0.127436099,0.056893094,26324,39,0.323582983,0.127720353,0.05660399,26219,38.8,0.450627557,0.127750782,0.049825731,24595,38.5,1,1,1,1,104199,Republican,,,,,,,,,,,
AL,"Lowndes County, Alabama",1085,0.516350681,0.748842707,0.001871368,22632,41.7,0.692327766,0.748792271,0.004025765,20328,42.5,0.495247751,0.742575225,0.006838609,17305,41.6,0.482588293,0.746426881,0.004732608,17748,40.4,0.407229494,0.738230445,0.00934237,17440,40.4,0.599334328,0.730202029,0.009035888,15569,39.7,1,1,1,1,10153,Democrat,,,,,,,,,,,
AL,"Macon County, Alabama",1087,0.336361916,0.788727992,0.023596208,20926,37.8,0.566589938,0.822368064,0.004339101,19505,38.7,0.46502799,0.826073265,0.017214233,17940,38,0.45070159,0.821072953,0.016460069,16826,38.2,0.339957589,0.81628871,0.014874421,16554,37.8,0.442118299,0.831282548,0.006405825,15277,35.8,1,1,1,1,19198,Democrat,,,,,,,,,,,
AL,"Madison County, Alabama",1089,0.405709448,0.244752823,0.052878411,40323,38.5,0.46474405,0.245995224,0.050075336,34448,38.5,0.525189717,0.240552635,0.048366708,31781,38.5,0.540669728,0.241895803,0.046752178,30232,38.1,0.301776701,0.239801998,0.046569492,29236,37.6,0.459365186,0.235412282,0.040342949,27434,37.1,4,3,3,3,389781,Republican,,,,,,,,,,,
AL,"Marengo County, Alabama",1091,0.493571866,0.508342023,0.028258603,24249,41.7,0.488738276,0.517661198,0.025864772,23742,41.8,0.361653885,0.538335551,0.005885966,20583,42.7,0.354259211,0.527608891,0.009468753,18665,42.2,0.288814905,0.513055786,0.020742838,19429,42.1,0.554314721,0.531038693,0.003380917,17407,40.1,1,2,2,2,19180,Democrat,,,,,,,,,,,
AL,"Marion County, Alabama",1093,0.366829566,0.038112523,0.027052015,24254,44,0.58694908,0.037829499,0.025689181,20853,44.5,0.419736786,0.036609378,0.025095945,20116,44.3,0.415384615,0.033466715,0.02400873,19222,43.9,0.275329755,0.036983654,0.023127068,18143,43.8,0.306883846,0.028968563,0.019063393,18498,42,1,1,1,1,29203,Republican,,,,,,,,,,,
AL,"Marshall County, Alabama",1095,0.352918906,0.028042442,0.150638767,29436,38.8,0.584582154,0.02939555,0.141423177,25730,39.2,0.407754912,0.025813232,0.136223659,22384,38.7,0.412678428,0.020955423,0.129159879,21065,38.8,0.254889059,0.01809373,0.125689272,20875,38.6,0.352860776,0.016188495,0.108851398,20043,38,3,3,3,3,97923,Republican,,,,,,,,,,,
AL,"Mobile County, Alabama",1097,0.265665501,0.36259719,0.030359188,30925,38.2,0.581718464,0.361078031,0.028972624,26718,38.1,0.42870478,0.355554805,0.028874328,25410,37.6,0.43105937,0.353147908,0.026447594,23507,37.2,0.272348538,0.349326764,0.025866754,22714,36.9,0.269632379,0.344689443,0.021668053,21219,36.3,2,4,4,4,413878,Republican,,,,,,,,,,,
AL,"Monroe County, Alabama",1099,0.316846292,0.423092451,0.002220428,25755,43.7,0.644661379,0.424545368,0.003522803,22504,43.5,0.53440464,0.414977687,0.014038676,20854,42.3,0.525858994,0.427986348,0.006188851,19105,41.5,0.356922895,0.41978764,0.010395842,18041,40.9,0.308030223,0.406103991,0.010630546,18371,39.7,1,1,1,1,19816,Republican,,,,,,,,,,,
AL,"Montgomery County, Alabama",1101,0.341779898,0.590723791,0.037684323,31293,36.9,0.579915084,0.579193733,0.035314483,27263,36.7,0.456910511,0.576652081,0.034145439,25997,36.2,0.453155,0.568203807,0.033114621,25006,36,0.337776875,0.55664846,0.03476513,24221,34.9,0.441296423,0.538374163,0.031475585,22888,34.6,2,2,3,3,228132,Democrat,,,,,,,,,,,
AL,"Morgan County, Alabama",1103,0.353542925,0.135099349,0.088097675,32324,40.6,0.480473614,0.12682653,0.084288491,27306,40.5,0.446628227,0.127835328,0.08135357,25064,40.4,0.447713569,0.121759859,0.078114675,23834,39.8,0.30089488,0.120365112,0.077699091,22974,39.1,0.429704322,0.118105618,0.067898191,22385,38.5,2,2,2,2,123102,Republican,,,,,,,,,,,
AL,"Perry County, Alabama",1105,0.478994127,0.708102371,0.009670952,18878,41.8,0.588268392,0.690905097,0.019551845,15560,38.5,0.460116864,0.694497154,0.009382248,16524,37.7,0.44412382,0.685876623,0.009537338,14921,37.1,0.377874855,0.683524454,0.008624914,12553,36.3,0.554064225,0.689629352,0.01160614,11973,35.2,1,1,1,1,8479,Democrat,,,,,,,,,,,
AL,"Pickens County, Alabama",1107,0.446016127,0.39661823,0.052153236,25566,42.9,0.350142413,0.402912863,0.049329144,20839,42.5,0.284924719,0.412208099,0.045915854,19294,42.4,0.287813643,0.41847121,0.024249077,18295,42.2,0.259196118,0.427275969,0.007845535,17106,42.3,0.436997141,0.421750264,0.011296882,16919,40.7,1,1,1,1,18925,Republican,,,,,,,,,,,
AL,"Pike County, Alabama",1109,0.312934095,0.372821772,0.024214323,26181,31.1,0.525947028,0.373114143,0.02296087,22274,30.8,0.403374412,0.380115558,0.007873544,20306,30.8,0.404822286,0.376055534,0.021937074,19334,31.2,0.354560699,0.364372592,0.02257948,19023,31.1,0.398959237,0.362802128,0.021930507,16794,31.7,1,1,1,1,32997,Republican,,,,,,,,,,,
AL,"Randolph County, Alabama",1111,0.378541463,0.189503584,0.030163668,27546,44.1,0.600506899,0.190348408,0.029165933,25140,43.6,0.435448703,0.20142642,0.029458669,22802,42.7,0.436802118,0.195843467,0.029228388,21557,42.8,0.343230129,0.200448865,0.02895617,20272,42,0.423178227,0.209536749,0.024674585,18176,40,1,1,1,1,22179,Republican,,,,,,,,,,,
AL,"Russell County, Alabama",1113,0.26118068,0.44877568,0.058641608,27596,37.2,0.4873903,0.449152542,0.056405123,25281,36.7,0.349405994,0.428718671,0.053596276,23466,35.9,0.348433914,0.422760761,0.050719694,22417,34.8,0.217546024,0.418322218,0.045489645,21508,35,0.30219563,0.415848867,0.033563672,19550,36.4,0,0,0,0,58849,Republican,,,,,,,,,,,
AL,"St. Clair County, Alabama",1115,0.394017323,0.097962254,0.025349164,34827,41,0.645853845,0.094446131,0.024480203,30269,40.5,0.449347094,0.094518132,0.023927336,26903,40.3,0.453846504,0.094206247,0.022650619,26217,40,0.298254867,0.093287347,0.021831961,25614,39.5,0.355398212,0.085620769,0.01966327,24214,38.2,2,2,2,2,91719,Republican,,,,,,,,,,,
AL,"Shelby County, Alabama",1117,0.36991491,0.130039836,0.058928348,44613,40,0.566561806,0.121160157,0.057101918,38721,39.5,0.542398703,0.120490767,0.057393461,36078,38.9,0.560716033,0.11603731,0.057591369,33464,38.1,0.350415973,0.114580848,0.05911477,32850,37.5,0.410139737,0.10257079,0.051894826,33737,36.5,3,3,3,3,223916,Republican,,,,,,,,,,,
AL,"Sumter County, Alabama",1119,0.395417817,0.722613972,0.006969498,17503,35.8,0.519995971,0.713537118,0.011591902,16495,35.7,0.450377192,0.719753562,0.001001155,14664,35.8,0.442487246,0.716823485,0.002935642,14310,36.5,0.338271841,0.730365518,0.004689943,14369,36.8,0.526485665,0.735130849,0.007281378,13037,36.9,1,1,1,1,12196,Democrat,,,,,,,,,,,
AL,"Talladega County, Alabama",1121,0.341219893,0.31925282,0.024622403,27431,42.1,0.569425708,0.322815413,0.023690245,23045,41.4,0.419508835,0.322844908,0.02256563,21985,41.1,0.421290561,0.320712585,0.021614419,20167,40.8,0.307457458,0.318905881,0.021328958,19033,40.3,0.386405794,0.319113022,0.01902923,19059,38.6,1,1,1,1,81105,Republican,,,,,,,,,,,
AL,"Tallapoosa County, Alabama",1123,0.417655215,0.265617803,0.024484255,27652,45.2,0.654774661,0.276341162,0.024301607,24608,45,0.49403206,0.274264199,0.02347672,24003,43.7,0.491078137,0.274622784,0.024122272,22383,43,0.37477257,0.27744279,0.025087783,21816,42.5,0.496523828,0.267130544,0.021355997,19928,41.2,3,3,3,3,41251,Republican,,,,,,,,,,,
AL,"Tuscaloosa County, Alabama",1125,0.286622964,0.320533085,0.039994299,32626,32.8,0.427964992,0.322258611,0.038141477,26205,33.2,0.328809256,0.316468894,0.036064652,26162,32.7,0.335021428,0.310133303,0.032923233,22288,32.1,0.192985451,0.303900941,0.031806513,21501,31.6,0.353414638,0.297423154,0.027685299,21029,31.2,2,2,2,2,231558,Republican,,,,,,,,,,,
AL,"Walker County, Alabama",1127,0.355969747,0.059866416,0.028748192,27973,41.8,0.629227889,0.060436977,0.025970973,25225,42,0.464007253,0.062130774,0.023956088,22702,42.4,0.457636212,0.057795801,0.02260912,19960,42.3,0.271389036,0.05684856,0.021718446,19374,42.4,0.348292004,0.060373898,0.018295569,19298,40.5,1,1,2,2,64978,Republican,,,,,,,,,,,
AL,"Washington County, Alabama",1129,0.402761889,0.2337696,0.016910717,26730,43.7,0.675785208,0.242531832,0.008631244,24523,43.8,0.52861247,0.245508622,0.010935528,19235,43.6,0.529269999,0.247737891,0.012951683,20240,41.4,0.381376268,0.243274786,0.011670654,21744,40.2,0.361363987,0.254499886,0.007518797,19478,39.4,1,0,0,0,15434,Republican,,,,,,,,,,,
AL,"Wilcox County, Alabama",1131,0.480469237,0.701848482,0.002107078,20774,41.1,0.567733067,0.702994693,0.004548901,19041,40.9,0.436155831,0.694883893,0.006476085,16402,40.8,0.416500411,0.719489163,0.005576041,16051,40.2,0.403533737,0.721826339,0.005982229,13664,39.3,0.564949413,0.72952048,0.002747253,12107,36.7,1,1,1,1,10441,Democrat,,,,,,,,,,,
AL,"Winston County, Alabama",1133,0.373268661,0.011118157,0.032466709,25210,45.4,0.601515885,0.008139339,0.031334345,22024,46.1,0.411006525,0.003769634,0.030743455,20749,44.9,0.409429941,0.004081123,0.029150877,18754,44.1,0.296425182,0.006926121,0.027415897,17607,43.9,0.369671742,0.003038036,0.025033418,16748,42.6,1,1,1,1,23655,Republican,,,,,,,,,,,
AZ,"Apache County, Arizona",4001,0.55243839,0.00885639,0.070154722,26363,35.6,0.666596259,0.007599632,0.066249268,21970,35.4,0.490251079,0.007172618,0.062148709,18909,34.7,0.496089718,0.00498991,0.059478064,18001,33.5,0.421832966,0.005849574,0.061378947,16458,33,0.440891286,0.002545796,0.059875981,15298,31.5,1,3,3,3,66054,Democrat,,,,,,,,,,,
AZ,"Cochise County, Arizona",4003,0.496876195,0.039847336,0.357032445,32463,41.4,0.626097455,0.040793407,0.354771358,27362,41,0.484134709,0.037488419,0.353170361,24415,40.6,0.48180556,0.039601489,0.344032081,22355,40.3,0.390547688,0.039355692,0.334668634,22349,39.6,0.437246654,0.038207445,0.31784355,22993,39.7,5,5,8,8,125504,Republican,,,,,,,,,,,
